Data;Fornecedor;NomeComercial;Categoria;LojaEntreposto;CodArtigo;DscArtigo;Ean;VPN;TipoArtigo;Marca;Coleccao;Quant;Valor;Column1
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7001 - dor e febre;L0767 - WLS COIMBRA SHOPPING;2999157;ILVICO N 20 CP DOR E FEBRE;8665604;-1;Permanente;ILVICO;;25;224,75;WLS COIMBRA SHOPPING
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7001 - dor e febre;L1158 - WLS RÉGUA;8094748;ELAS 50G;8006540730607;-1;Permanente;ELAS;;1;8,79;WLS RÉGUA
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7002 - sistema respiratório;L0738 - WLS VILA FRANCA XIRA;2997726;VICKS VAPORUB POMADA 100G;5601059001298;-1;Permanente;VICKS;;1;14,28;WLS VILA FRANCA XIRA
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L0734 - WLS ALHOS VEDROS;8099129;TESTE GRAVIDEZ 6 DIAS X 2 CLEARBLUE;8700216526067;-1;Permanente;CLEARBLUE;;2;27,2;WLS ALHOS VEDROS
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L0776 - WLS MADEIRA SHOPPING;8514869;CLEARBLUE TESTE OVULAÇÃO 20UN;8700216936583;-1;Permanente;CLEARBLUE;;1;38,5;WLS MADEIRA SHOPPING
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L1710 - WLS Garrett;5218361;TESTE GRAVIDEZ 1 MINUTO CLEARBLUE;8700216571104;-1;Permanente;CLEARBLUE;;8;64;WLS Garrett
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L7069 - WLS PARCHAL;8428422;KUKIDENT PRO FIXAÇÃO TODO DIA FRESC 47G;8700216596480;-1;Permanente;KUKIDENT;;1;10,19;WLS PARCHAL
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L2411 - WLS FRANCISC METRASS;7479541;TESTE GRAVIDEZ DIG ULTRA ANTEC CLEARBLUE;6602797;-1;Permanente;CLEARBLUE;;3;47,4;WLS FRANCISC METRASS
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7101 - suplem. alimentares;L7718 - WLS CANEÇAS;7407620;ZZZQUIL MELATONINA 30 GOMAS;7492595;-1;Permanente;ZZZQUIL;;7;119,91;WLS CANEÇAS
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7002 - sistema respiratório;L0758 - WLS GRÂNDOLA;2997718;VICKS VAPORUB POMADA 50G;5601059001021;-1;Permanente;VICKS;;11;98,78;WLS GRÂNDOLA
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L0048 - WLS PALMELA;7479541;TESTE GRAVIDEZ DIG ULTRA ANTEC CLEARBLUE;6602797;-1;Permanente;CLEARBLUE;;1;15,8;WLS PALMELA
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L2298 - WLS S MARTINHO;5218361;TESTE GRAVIDEZ 1 MINUTO CLEARBLUE;8700216571104;-1;Permanente;CLEARBLUE;;10;80;WLS S MARTINHO
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L3019 - WLS LOUSADA;4670511;TESTE GRAVIDEZ INDICADOR SEMAN CLEARBLUE;5013965723407;-1;Permanente;CLEARBLUE;;8;126,4;WLS LOUSADA
