Store_Name,Product_Code,Product_Name,Brand,Quantity,Value_Sales_EUR,Source_File,Status
WLS BARCELOS ROTUNDA,7479541,TESTE GRAVIDEZ DIG ULTRA ANTEC CLEARBLUE,Clearblue,3,47.4,portalSOnae,MISSING_IN_DATABRIDGE
WLS TOMAR,7637243,KUKIDENT PRO PLUS BARREIRA S/SABOR 40G K,Kukident,11,117.59,portalSOnae,MISSING_IN_DATABRIDGE
WLS 5 OUTUBRO,5182926,GRIPONAL 20 COMP. EFERVESCENTES,Griponal,20,226,portalSOnae,MISSING_IN_DATABRIDGE
WLS ÍLHAVO,8190317,VICKS XAROPE ANTITÚSSICO MEL 180ML,Vicks,1,10.99,portalSOnae,MISSING_IN_DATABRIDGE
WLS ALPENDURADA,4670511,TESTE GRAVIDEZ INDICADOR SEMAN CLEARBLUE,Clearblue,5,79,portalSOnae,MISSING_IN_DATABRIDGE
WLS ANTAS,8399872,ZZZQUIL FORTE 60 GOMAS,Zzzquil,3,89.97,portalSOnae,MISSING_IN_DATABRIDGE
WLS CRUZ DE PAU,6780529,VICKS SINEX RESPIR 10ML,Vicks,3,27,portalSOnae,MISSING_IN_DATABRIDGE
WLS MINHO CENTER,3580611,FIO SUPER-FLOSS ORAL-B 50 FIOS,Oral-B,10,54.9,portalSOnae,MISSING_IN_DATABRIDGE
WLS ASPRELA,2999157,ILVICO N 20 CP DOR E FEBRE,Ilvico,2,17.98,portalSOnae,MISSING_IN_DATABRIDGE
WLS ALMADA RUA,7479541,TESTE GRAVIDEZ DIG ULTRA ANTEC CLEARBLUE,Clearblue,1,15.8,portalSOnae,MISSING_IN_DATABRIDGE
WLS GAIA CNT,8448093,ESCOVA ELÉTRIC LABORATORY IO2 AZ ORAL-B,Oral-B,2,149.98,portalSOnae,MISSING_IN_DATABRIDGE
WLS ESMORIZ,7407622,ZZZQUIL MELATONINA 60 GOMAS,Zzzquil,7,199.5,portalSOnae,MISSING_IN_DATABRIDGE
WLS NAZARÉ,2999073,CEBION VITAMINA C 20 COMPS. EFERVESCENTE,Cebion,3,28.35,portalSOnae,MISSING_IN_DATABRIDGE
WLS S FELIX MARINHA,2997726,VICKS VAPORUB POMADA 100G,Vicks,2,28.56,portalSOnae,MISSING_IN_DATABRIDGE
WLS OLHÃO CBD,6081764,TESTE GRAVIDEZ 6 DIAS CLEARBLUE,Clearblue,3,29.1,portalSOnae,MISSING_IN_DATABRIDGE
WLS VALBOM,2997715,VICKS INALADOR 1G,Vicks,5,24.75,portalSOnae,MISSING_IN_DATABRIDGE
WLS OVAR CNT,5152288,VICKS SINEX SENSI ALOE VERA 15ML,Vicks,6,54,portalSOnae,MISSING_IN_DATABRIDGE
WLS MOITA,3580611,FIO SUPER-FLOSS ORAL-B 50 FIOS,Oral-B,11,60.39,portalSOnae,MISSING_IN_DATABRIDGE
WLS SOBRAL MT AGRACO,5152288,VICKS SINEX SENSI ALOE VERA 15ML,Vicks,10,90,portalSOnae,MISSING_IN_DATABRIDGE
WLS COIMBRA SHOPPING,8428119,KUKIDENT PRO SEM SABOR 47G,Kukident,9,91.71,portalSOnae,MISSING_IN_DATABRIDGE
WLS TONDELA,2999073,CEBION VITAMINA C 20 COMPS. EFERVESCENTE,Cebion,1,9.45,portalSOnae,MISSING_IN_DATABRIDGE
WLS VASCO DA GAMA,2997726,VICKS VAPORUB POMADA 100G,Vicks,10,141.37,portalSOnae,MISSING_IN_DATABRIDGE
WLS LEIRIA SHOPPING,3580611,FIO SUPER-FLOSS ORAL-B 50 FIOS,Oral-B,18,98.82,portalSOnae,MISSING_IN_DATABRIDGE
WLS MATOSINHOS,5182926,GRIPONAL 20 COMP. EFERVESCENTES,Griponal,38,428.27,portalSOnae,MISSING_IN_DATABRIDGE
WLS BRAGA FROSSOS,5152288,VICKS SINEX SENSI ALOE VERA 15ML,Vicks,6,54,portalSOnae,MISSING_IN_DATABRIDGE
WLS CAMPO MAIOR,8190317,VICKS XAROPE ANTITÚSSICO MEL 180ML,Vicks,3,32.97,portalSOnae,MISSING_IN_DATABRIDGE
WLS MATOSINHOS,8432069,KUKIDENT PRO ULTIMATE S/SABOR 57G OF CX,Kukident,3,53.82,portalSOnae,MISSING_IN_DATABRIDGE
WLS BRAGA FROSSOS,7397721,KUKIDENT PRO FIXAÇÃO DIA SABOR FRESC 70G,Kukident,2,29.12,portalSOnae,MISSING_IN_DATABRIDGE
WLS BARREIRO CNT,5152288,VICKS SINEX SENSI ALOE VERA 15ML,Vicks,12,108,portalSOnae,MISSING_IN_DATABRIDGE
WLS ARRUDA DOS VINHO,6780529,VICKS SINEX RESPIR 10ML,Vicks,1,9,portalSOnae,MISSING_IN_DATABRIDGE
WLS RIO TINTO,8375717,KUKIDENT PRO SEM SABOR 70G,Kukident,2,29.12,portalSOnae,MISSING_IN_DATABRIDGE
WLS BARREIRO CNT,7397721,KUKIDENT PRO FIXAÇÃO DIA SABOR FRESC 70G,Kukident,5,72.8,portalSOnae,MISSING_IN_DATABRIDGE
WLS ERMESINDE,8428119,KUKIDENT PRO SEM SABOR 47G,Kukident,1,10.19,portalSOnae,MISSING_IN_DATABRIDGE
WLS ODIÁXERE,7528978,KUKIDENT PRO ULTIMATE SABOR FRESCO 40G,Kukident,3,40.47,portalSOnae,MISSING_IN_DATABRIDGE
WLS BEJA RETAIL,2999157,ILVICO N 20 CP DOR E FEBRE,Ilvico,29,259.81,portalSOnae,MISSING_IN_DATABRIDGE
WLS AVENIDA ROMA,2999157,ILVICO N 20 CP DOR E FEBRE,Ilvico,8,71.92,portalSOnae,MISSING_IN_DATABRIDGE
WLS AVINTES,8428422,KUKIDENT PRO FIXAÇÃO TODO DIA FRESC 47G,Kukident,2,20.38,portalSOnae,MISSING_IN_DATABRIDGE
WLS RÉGUA,2997718,VICKS VAPORUB POMADA 50G,Vicks,6,53.88,portalSOnae,MISSING_IN_DATABRIDGE
WLS BRAGANÇA,5152288,VICKS SINEX SENSI ALOE VERA 15ML,Vicks,4,36,portalSOnae,MISSING_IN_DATABRIDGE
WLS BRAGA QT PORTA,8099129,TESTE GRAVIDEZ 6 DIAS X 2 CLEARBLUE,Clearblue,1,13.6,portalSOnae,MISSING_IN_DATABRIDGE
WLS OURÉM,8428119,KUKIDENT PRO SEM SABOR 47G,Kukident,2,20.38,portalSOnae,MISSING_IN_DATABRIDGE
WLS BRAGANÇA,7397721,KUKIDENT PRO FIXAÇÃO DIA SABOR FRESC 70G,Kukident,1,14.56,portalSOnae,MISSING_IN_DATABRIDGE
WLS PORTIMÃO SHOP,7528978,KUKIDENT PRO ULTIMATE SABOR FRESCO 40G,Kukident,9,121.41,portalSOnae,MISSING_IN_DATABRIDGE
WLS MAFRA CNT,2999157,ILVICO N 20 CP DOR E FEBRE,Ilvico,20,179.8,portalSOnae,MISSING_IN_DATABRIDGE
WLS Garrett,8432067,KUKIDENT PRO ULTIMATE S/SABOR 40G DUO PA,Kukident,1,22.49,portalSOnae,MISSING_IN_DATABRIDGE
WLS ESMORIZ,5182926,GRIPONAL 20 COMP. EFERVESCENTES,Griponal,18,203.4,portalSOnae,MISSING_IN_DATABRIDGE
WLS CANTANHEDE,2997726,VICKS VAPORUB POMADA 100G,Vicks,3,42.84,portalSOnae,MISSING_IN_DATABRIDGE
WLS ODIÁXERE,5218361,TESTE GRAVIDEZ 1 MINUTO CLEARBLUE,Clearblue,4,32,portalSOnae,MISSING_IN_DATABRIDGE
WLS SESIMBRA,6697571,KUKIDENT PRO PLUS FIRME MASTIG S/SAB 57G,Kukident,9,151.11,portalSOnae,MISSING_IN_DATABRIDGE
WLS AMADORA,6394062,BABYRUB 50 GR VICKS,Vicks,4,33.44,portalSOnae,MISSING_IN_DATABRIDGE
WLS CHAVES CBD,6780529,VICKS SINEX RESPIR 10ML,Vicks,3,27,portalSOnae,MISSING_IN_DATABRIDGE
WLS VALONGO II,2999157,ILVICO N 20 CP DOR E FEBRE,Ilvico,38,341.62,portalSOnae,MISSING_IN_DATABRIDGE
WLS SILVES,4995991,ELÁS CREME 100GR,Elas,1,15.99,portalSOnae,MISSING_IN_DATABRIDGE
WLS PORTO DE MÓS,6394062,BABYRUB 50 GR VICKS,Vicks,4,33.44,portalSOnae,MISSING_IN_DATABRIDGE
WLS VILA VERDE,8375717,KUKIDENT PRO SEM SABOR 70G,Kukident,1,14.56,portalSOnae,MISSING_IN_DATABRIDGE
WLS CABECEIRAS BASTO,7407622,ZZZQUIL MELATONINA 60 GOMAS,Zzzquil,1,28.5,portalSOnae,MISSING_IN_DATABRIDGE
WLS PAREDE,7942847,ZZZQUIL FORTE SONO 30GOMAS,Zzzquil,2,43.26,portalSOnae,MISSING_IN_DATABRIDGE
WLS BEJA CNT,2999073,CEBION VITAMINA C 20 COMPS. EFERVESCENTE,Cebion,2,18.9,portalSOnae,MISSING_IN_DATABRIDGE
WLS MEM MARTINS,6910255,DODOT PRO SENSITIVE T2 36UN,Dodot,1,12.99,portalSOnae,MISSING_IN_DATABRIDGE
WLS CAMPO 24 AGOSTO,2999073,CEBION VITAMINA C 20 COMPS. EFERVESCENTE,Cebion,2,18.9,portalSOnae,MISSING_IN_DATABRIDGE
WLS V REAL STO ANT,7942847,ZZZQUIL FORTE SONO 30GOMAS,Zzzquil,8,170.88,portalSOnae,MISSING_IN_DATABRIDGE
WLS COVILHA SHOPPING,2997715,VICKS INALADOR 1G,Vicks,9,44.55,portalSOnae,MISSING_IN_DATABRIDGE
WLS LISBOA MARECHAL,6081764,TESTE GRAVIDEZ 6 DIAS CLEARBLUE,Clearblue,12,116.4,portalSOnae,MISSING_IN_DATABRIDGE
WLS FAMALICÃO RUA,3580611,FIO SUPER-FLOSS ORAL-B 50 FIOS,Oral-B,1,5.49,portalSOnae,MISSING_IN_DATABRIDGE
WLS T VEDRAS CBD,6697571,KUKIDENT PRO PLUS FIRME MASTIG S/SAB 57G,Kukident,3,50.37,portalSOnae,MISSING_IN_DATABRIDGE
WLS BRAGA QT PORTA,7407620,ZZZQUIL MELATONINA 30 GOMAS,Zzzquil,7,119.91,portalSOnae,MISSING_IN_DATABRIDGE
WLS COIMBRA EIRAS,7407622,ZZZQUIL MELATONINA 60 GOMAS,Zzzquil,5,142.5,portalSOnae,MISSING_IN_DATABRIDGE
WLS BARCELOS,7637243,KUKIDENT PRO PLUS BARREIRA S/SABOR 40G K,Kukident,4,42.76,portalSOnae,MISSING_IN_DATABRIDGE
WLS CARREGADO,5218279,KUKIDENT PRO PLUS FIRME MASTIG S/SAB 40G,Kukident,6,71.94,portalSOnae,MISSING_IN_DATABRIDGE
WLS CARTAXO,5182926,GRIPONAL 20 COMP. EFERVESCENTES,Griponal,23,259.9,portalSOnae,MISSING_IN_DATABRIDGE
WLS BELAS,2997726,VICKS VAPORUB POMADA 100G,Vicks,4,57.12,portalSOnae,MISSING_IN_DATABRIDGE
WLS LAGOS,8428119,KUKIDENT PRO SEM SABOR 47G,Kukident,2,20.38,portalSOnae,MISSING_IN_DATABRIDGE
